title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,status,last_verified
DAV Chapter 14 - Tuskegee #14,dav-chapter-14-al,local,Chapter 14,dav,DAV,world-war-1,World War I,AL,alabama,Macon County,macon-county,al_01087,Hwy 80 W Soujourner,Tuskegee,36083,32.4157239,-85.701417,true,334-727-1059,,http://www.davmembersportal.org/chapters/AL/14,,,,,,14,"Second, Sunday, 4:00PM","Hwy 80 W Soujourner, Tuskegee, AL 36083",,
DAV Chapter 18 - Frank L Bradford #18,dav-chapter-18-al,local,Chapter 18,dav,DAV,world-war-1,World War I,AL,alabama,Marshall County,marshall-county,al_01095,19272 Hwy 431 North,Guntersville,35976,,,false,256-582-5750,,http://www.davmembersportal.org/chapters/AL/18,,,,,,18,"First, Monday, 6:00PM","19272 Hwy 431 North, Guntersville, AL 35976",,
DAV Chapter 21 - E. J. Kirkpatrick #21,dav-chapter-21-al,local,Chapter 21,dav,DAV,world-war-1,World War I,AL,alabama,,,al_unknown,Hwy 278 5th Ave,Piedmont,36272,,,false,256-447-6916,,http://www.davmembersportal.org/chapters/AL/21,,,,,,21,"Second, Tuesday, 6:00PM","Hwy 278 5th Ave, Piedmont, AL 36272",,
DAV Chapter 26 - Huntsville #26,dav-chapter-26-al,local,Chapter 26,dav,DAV,world-war-1,World War I,AL,alabama,Madison County,madison-county,al_01089,3077 Leeman Ferry Rd Ste B2,Huntsville,35801,34.6999152,-86.6041089,true,256-850-0928,,http://www.davmembersportal.org/chapters/AL/26,,,,,,26,"Second, Saturday, 10:00AM","3077 Leeman Ferry Rd Ste B2, Huntsville, AL 35801",,
DAV Chapter 27 - A L Mclaughlin #27,dav-chapter-27-al,local,Chapter 27,dav,DAV,world-war-1,World War I,AL,alabama,St. Clair County,st-clair-county,al_01115,405 19th St South,Pell City,35125,33.5834785,-86.2844477,true,205-229-4324,,http://www.davmembersportal.org/chapters/AL/27,,,,,,27,"Third, Tuesday, 6:00PM","405 19th St South, Pell City, AL 35125",,
DAV Chapter 28 - Blount County #28,dav-chapter-28-al,local,Chapter 28,dav,DAV,world-war-1,World War I,AL,alabama,St. Clair County,st-clair-county,al_01115,300 6th Street S,Oneonta,35121,33.9481537,-86.472764,true,205-540-6542,,http://www.davmembersportal.org/chapters/AL/28,,,,,,28,"First, Saturday, 9:00AM","300 6th Street S, Oneonta, AL 35121",,
DAV Chapter 31 - Marengo County #31,dav-chapter-31-al,local,Chapter 31,dav,DAV,world-war-1,World War I,AL,alabama,Marengo County,marengo-county,al_01091,Bryan W Whitfield Mem Hospital Highway 80,Demopolis,36732,,,false,334-289-1251,,http://www.davmembersportal.org/chapters/AL/31,,,,,,31,"4th Thursday, 6:00 PM","Bryan W Whitfield Mem Hospital Highway 80, Demopolis, AL 36732",defunct,2026-04-29
DAV Chapter 33 - Chilton County #33,dav-chapter-33-al,local,Chapter 33,dav,DAV,world-war-1,World War I,AL,alabama,Chilton County,chilton-county,al_01021,1416 Enterprise Road,Clanton,35045,,,false,205-755-8924,,http://www.davmembersportal.org/chapters/AL/33,,,,,,33,"Second, Saturday, 11:00AM","1416 Enterprise Road, Clanton, AL 35045",,
DAV Chapter 35 - Leo Dubose #35,dav-chapter-35-al,local,Chapter 35,dav,DAV,world-war-1,World War I,AL,alabama,Mobile County,mobile-county,al_01097,716 Mae St,Saraland,36571,30.8070381,-88.09284799999999,true,251-300-9818,,http://www.davmembersportal.org/chapters/AL/35,,,,,,35,"Third, Saturday, 10:00AM","716 Mae St, Saraland, AL 36571",,
DAV Chapter 45 - Arnold Byers #45,dav-chapter-45-al,local,Chapter 45,dav,DAV,world-war-1,World War I,AL,alabama,Baldwin County,baldwin-county,al_01003,4198 Municipal Park Dr,Loxley,36551,,,false,251-206-0284,,http://www.davmembersportal.org/chapters/AL/45,,,,,,45,"First, Tuesday, 9:00AM","4198 Municipal Park Dr, Loxley, AL 36551",,
DAV Chapter 51 - James L Daniels #51,dav-chapter-51-al,local,Chapter 51,dav,DAV,world-war-1,World War I,AL,alabama,Limestone County,limestone-county,al_01083,25396 Airport Road,Athens,36511,34.8059683,-86.9667364,true,256-924-9980,,http://www.davmembersportal.org/chapters/AL/51,,,,,,51,"First, Tuesday, 6:00PM","25396 Airport Road, Athens, AL 36511",,
DAV Chapter 61 - Wm H Vest #61,dav-chapter-61-al,local,Chapter 61,dav,DAV,world-war-1,World War I,AL,alabama,Perry County,perry-county,al_01105,1100 Kings Bend Rd,Selma,36701,32.3949462,-87.0289895,true,334-875-5961,,http://www.davmembersportal.org/chapters/AL/61,,,,,,61,"Second, Monday, 6:00PM","1100 Kings Bend Rd, Selma, AL 36701",,
DAV Chapter 63 - Muscle Shoals #63,dav-chapter-63-al,local,Chapter 63,dav,DAV,world-war-1,World War I,AL,alabama,Colbert County,colbert-county,al_01033,1409 W 11th St,Sheffield,35660,,,false,256-381-8229,,http://www.davmembersportal.org/chapters/AL/63,,,,,,63,"4th Tuesday, 7:00 PM","1409 W 11th St, Sheffield, AL 35660",defunct,2026-04-29
DAV Chapter 66 - R Geo Isaacs Jr #66,dav-chapter-66-al,local,Chapter 66,dav,DAV,world-war-1,World War I,AL,alabama,Russell County,russell-county,al_01113,1407 28th Ave,Phenix City,36869,32.4736009,-85.033656,true,334-214-4982,,http://www.davmembersportal.org/chapters/AL/66,,,,,,66,"First, Tuesday, 6:00PM","1407 28th Ave, Phenix City, AL 36869",,
DAV Chapter 70 - COL. Chas. Young #70,dav-chapter-70-al,local,Chapter 70,dav,DAV,world-war-1,World War I,AL,alabama,,,al_unknown,617 8th Ave N,Bessemer,35020,,,false,205-401-2321,,http://www.davmembersportal.org/chapters/AL/70,,,,,,70,"Second, Saturday, 3:00PM","617 8th Ave N, Bessemer, AL 35020",,
DAV Chapter 72 - Andrew G Faulk #72,dav-chapter-72-al,local,Chapter 72,dav,DAV,world-war-1,World War I,AL,alabama,Monroe County,monroe-county,al_01099,112 Perryman St,Evergreen,36401,,,false,251-227-1290,,http://www.davmembersportal.org/chapters/AL/72,,,,,,72,"Second, Saturday, 9:00AM","112 Perryman St, Evergreen, AL 36401",,
DAV Chapter 78 - Geo Wash Carver #78,dav-chapter-78-al,local,Chapter 78,dav,DAV,world-war-1,World War I,AL,alabama,Talladega County,talladega-county,al_01121,620 Coosa St W,Talladega,35160,,,false,256-362-5788,,http://www.davmembersportal.org/chapters/AL/78,,,,,,78,"Second, Tuesday, 5:30PM","620 Coosa St W, Talladega, AL 35160",,
DAV Chapter 87 - Dothan #87,dav-chapter-87-al,local,Chapter 87,dav,DAV,world-war-1,World War I,AL,alabama,Houston County,houston-county,al_01069,301 West Lafayette St.,Dothan,36301,,,false,334-466-0866,,http://www.davmembersportal.org/chapters/AL/87,,,,,,87,"Third, Thursday, 3:00PM","301 West Lafayette St., Dothan, AL 36301",,
DAV Chapter 94 - Ozark #94,dav-chapter-94-al,local,Chapter 94,dav,DAV,world-war-1,World War I,AL,alabama,Dale County,dale-county,al_01045,221 Williams Drive,Ozark,36360,,,false,334-701-4228,,http://www.davmembersportal.org/chapters/AL/94,,,,,,94,"Third, Saturday, 9:00AM","221 Williams Drive, Ozark, AL 36360",,
DAV Chapter 95 - Twin Cities #95,dav-chapter-95-al,local,Chapter 95,dav,DAV,world-war-1,World War I,AL,alabama,Macon County,macon-county,al_01087,2150 Bent Creek Rd,Auburn,36830,,,false,334-728-5773,,http://www.davmembersportal.org/chapters/AL/95,,,,,,95,"Third, Tuesday, 6:00PM","2150 Bent Creek Rd, Auburn, AL 36830",,
DAV Chapter 98 - Anniston-Oxford #98,dav-chapter-98-al,local,Chapter 98,dav,DAV,world-war-1,World War I,AL,alabama,Calhoun County,calhoun-county,al_01015,1810 Noble St,Anniston,36201,,,false,256-393-3734,,http://www.davmembersportal.org/chapters/AL/98,,,,,,98,"First, Tuesday, 6:00PM","1810 Noble St, Anniston, AL 36201",,
DAV Chapter 99 - Wire Grass #99,dav-chapter-99-al,local,Chapter 99,dav,DAV,world-war-1,World War I,AL,alabama,Coffee County,coffee-county,al_01031,130 Vester Cole St,New Brockton,36351,33.3673343,-87.1036067,true,334-718-5707,,http://www.davmembersportal.org/chapters/AL/99,,,,,,99,"Fourth, Thursday, 7:00PM","130 Vester Cole St, New Brockton, AL 36351",,
DAV Chapter 100 - William Bill Cannion #100,dav-chapter-100-al,local,Chapter 100,dav,DAV,world-war-1,World War I,AL,alabama,,,al_unknown,80 South Commerce St,Hayneville,36040,,,false,334-380-1507,,http://www.davmembersportal.org/chapters/AL/100,,,,,,100,"Second, Saturday, 8:00AM","80 South Commerce St, Hayneville, AL 36040",,
DAV Chapter 101 - SSG Travis L Nelson #101,dav-chapter-101-al,local,Chapter 101,dav,DAV,world-war-1,World War I,AL,alabama,,,al_unknown,112 Veterans DR SW,Cullman,35055,,,false,256-735-4482,,http://www.davmembersportal.org/chapters/AL/101,,,,,,101,"Third, Thursday, 6:00PM","112 Veterans DR SW, Cullman, AL 35055",,
DAV Chapter 102 - Twin Rivers #102,dav-chapter-102-al,local,Chapter 102,dav,DAV,world-war-1,World War I,AL,alabama,,,al_unknown,414 E Magnolia Ave,Geneva,36340,,,false,850-768-2125,,http://www.davmembersportal.org/chapters/AL/102,,,,,,102,"Last, Tuesday, 6:00PM","414 E Magnolia Ave, Geneva, AL 36340",,
DAV Chapter 1 - Ft Smith #1,dav-chapter-1-ar,local,Chapter 1,dav,DAV,world-war-1,World War I,AR,arkansas,Sebastian County,sebastian-county,ar_05131,12912 Tuscany St,Fort Smith,72916,,,false,479-259-5357,,http://www.davmembersportal.org/chapters/AR/01,,,,,,1,"Fourth, Monday, 6:00PM","12912 Tuscany St, Fort Smith, AR 72916",,
DAV Chapter 5 - James L Whitby #5,dav-chapter-5-ar,local,Chapter 5,dav,DAV,world-war-1,World War I,AR,arkansas,Hot Spring County,hot-spring-county,ar_05059,2278 Albert Pike Rd,Hot Springs,71913,,,false,501-760-4648,,http://www.davmembersportal.org/chapters/AR/05,,,,,,5,"Third, Tuesday, 11:00AM","2278 Albert Pike Rd, Hot Springs, AR 71913",,
DAV Chapter 6 - Boone Co #6,dav-chapter-6-ar,local,Chapter 6,dav,DAV,world-war-1,World War I,AR,arkansas,Newton County,newton-county,ar_05101,905 U.S. 62-65,Harrison,72601,36.254284,-93.121389,true,870-719-2935,,http://www.davmembersportal.org/chapters/AR/06,,,,,,6,"Third, Tuesday, 1:00PM","905 U.S. 62-65, Harrison, AR 72601",,
DAV Chapter 7 - Greater Little Rock #7,dav-chapter-7-ar,local,Chapter 7,dav,DAV,world-war-1,World War I,AR,arkansas,Pulaski County,pulaski-county,ar_05119,5001 Warden Rd,N Little Rock,72116,34.7979948,-92.2196924,true,501-425-4930,,http://www.davmembersportal.org/chapters/AR/07,,,,,,7,"Third, Friday, 12:00PM","5001 Warden Rd, N Little Rock, AR 72116",,
DAV Chapter 10 - John H Dunn #10,dav-chapter-10-ar,local,Chapter 10,dav,DAV,world-war-1,World War I,AR,arkansas,Perry County,perry-county,ar_05105,1490 S Donaghey Ave,Conway,72034,,,false,870-582-2007,,http://www.davmembersportal.org/chapters/AR/10,,,,,,10,"Second, Monday, 7:00PM","1490 S Donaghey Ave, Conway, AR 72034",,
DAV Chapter 12 - Pine Bluff #12,dav-chapter-12-ar,local,Chapter 12,dav,DAV,world-war-1,World War I,AR,arkansas,Jefferson County,jefferson-county,ar_05069,114 S State St,Pine Bluff,71601,34.2715181,-92.0894498,true,501-376-3733,,http://www.davmembersportal.org/chapters/AR/12,,,,,,12,"Third, Thursday, 6:00PM","114 S State St, Pine Bluff, AR 71601",,
DAV Chapter 13 - Morrilton #13,dav-chapter-13-ar,local,Chapter 13,dav,DAV,world-war-1,World War I,AR,arkansas,Conway County,conway-county,ar_05029,"300 Bentley St
(DAV Chapter Building)",Morrilton,72110,,,false,501-352-3269,,http://www.davmembersportal.org/chapters/AR/13,,,,,,13,"Second, Tuesday, 11:00AM","300 Bentley St
(DAV Chapter Building), Morrilton, AR 72110",,
DAV Chapter 16 - Springdale #16,dav-chapter-16-ar,local,Chapter 16,dav,DAV,world-war-1,World War I,AR,arkansas,Washington County,washington-county,ar_05143,2605 W Pleasant Crossing Dr,Rogers,72753,,,false,479-422-0202,,http://www.davmembersportal.org/chapters/AR/16,,,,,,16,"Fourth, Tuesday, 4:30PM","2605 W Pleasant Crossing Dr, Rogers, AR 72753",,
DAV Chapter 26 - Jonesboro #26,dav-chapter-26-ar,local,Chapter 26,dav,DAV,world-war-1,World War I,AR,arkansas,Greene County,greene-county,ar_05055,1921 Aggie Rd,Jonesboro,72401,,,false,870-972-3326,,http://www.davmembersportal.org/chapters/AR/26,,,,,,26,"Third, Saturday, 10:00AM","1921 Aggie Rd, Jonesboro, AR 72401",,
DAV Chapter 27 - Simpson Turner #27,dav-chapter-27-ar,local,Chapter 27,dav,DAV,world-war-1,World War I,AR,arkansas,Pope County,pope-county,ar_05115,206 South Pittsburgh Ave,Russellville,72801,,,false,479-567-5450,,http://www.davmembersportal.org/chapters/AR/27,,,,,,27,"Third, Monday, 6:30PM","206 South Pittsburgh Ave, Russellville, AR 72801",,
DAV Chapter 30 - Twin Lakes #30,dav-chapter-30-ar,local,Chapter 30,dav,DAV,world-war-1,World War I,AR,arkansas,Marion County,marion-county,ar_05089,650 South Street,Mountain Home,72653,,,false,870-321-0866,,http://www.davmembersportal.org/chapters/AR/30,,,,,,30,"Third, Monday, 2:30PM","650 South Street, Mountain Home, AR 72653",,
DAV Chapter 39 - The Paris #39,dav-chapter-39-ar,local,Chapter 39,dav,DAV,world-war-1,World War I,AR,arkansas,Logan County,logan-county,ar_05083,23 W Main St,Paris,72855,,,false,479-963-8001,,http://www.davmembersportal.org/chapters/AR/39,,,,,,39,"Third, Thursday, 6:30PM","23 W Main St, Paris, AR 72855",,
DAV Chapter 41 - White County #41,dav-chapter-41-ar,local,Chapter 41,dav,DAV,world-war-1,World War I,AR,arkansas,White County,white-county,ar_05145,801 S Elm St,Searcy,72143,,,false,706-315-7107,,http://www.davmembersportal.org/chapters/AR/41,,,,,,41,"First, Monday, 7:00PM","801 S Elm St, Searcy, AR 72143",,
DAV Chapter 46 - Ouachita #46,dav-chapter-46-ar,local,Chapter 46,dav,DAV,world-war-1,World War I,AR,arkansas,Scott County,scott-county,ar_05127,Veterans Memorial Park 1706 Us Hwy 71,Mena,71953,,,false,479-385-4132,,http://www.davmembersportal.org/chapters/AR/46,,,,,,46,"First, Thursday, 6:00PM","Veterans Memorial Park 1706 Us Hwy 71, Mena, AR 71953",,
DAV Chapter 47 - El Dorado #47,dav-chapter-47-ar,local,Chapter 47,dav,DAV,world-war-1,World War I,AR,arkansas,Union County,union-county,ar_05139,1502 Champagnolle Rd,El Dorado,71730,,,false,870-962-3328,,http://www.davmembersportal.org/chapters/AR/47,,,,,,47,"Second, Saturday, 10:00AM","1502 Champagnolle Rd, El Dorado, AR 71730",,
DAV Chapter 56 - Grant County #56,dav-chapter-56-ar,local,Chapter 56,dav,DAV,world-war-1,World War I,AR,arkansas,Jefferson County,jefferson-county,ar_05069,1527 HWY 270 E,Sheridan,72150,34.3088612,-92.380369,true,501-626-6041,,http://www.davmembersportal.org/chapters/AR/56,,,,,,56,"First, Monday, 5:00PM","1527 HWY 270 E, Sheridan, AR 72150",,
DAV Chapter 57 - G P Houston Mem #57,dav-chapter-57-ar,local,Chapter 57,dav,DAV,world-war-1,World War I,AR,arkansas,Cleburne County,cleburne-county,ar_05023,714 Scott St,Heber Springs,72543,,,false,501-691-0791,,http://www.davmembersportal.org/chapters/AR/57,,,,,,57,"First, Thursday, 10:00AM","714 Scott St, Heber Springs, AR 72543",,
DAV Chapter 64 - Siloam Springs #64,dav-chapter-64-ar,local,Chapter 64,dav,DAV,world-war-1,World War I,AR,arkansas,,,ar_unknown,110 N Mt Olive St,Siloam Springs,72761,,,false,479-391-0314,,http://www.davmembersportal.org/chapters/AR/64,,,,,,64,"Third, Thursday, 6:00PM","110 N Mt Olive St, Siloam Springs, AR 72761",,
DAV Chapter 65 - Van Buren County #65,dav-chapter-65-ar,local,Chapter 65,dav,DAV,world-war-1,World War I,AR,arkansas,,,ar_unknown,1414Hury 255,Clinton,72031,,,false,501-757-9044,,http://www.davmembersportal.org/chapters/AR/65,,,,,,65,"Second, Thursday, 6:30PM","1414Hury 255, Clinton, AR 72031",,
DAV Chapter 1 - Phoenix #1,dav-chapter-1-az,local,Chapter 1,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,38 W Dunlap Ave,Phoenix,85021,,,false,602-678-0333,,http://www.davmembersportal.org/chapters/AZ/01,,,,,,1,"Third, Saturday, 12:00PM","38 W Dunlap Ave, Phoenix, AZ 85021",,
DAV Chapter 2 - Cactus #2,dav-chapter-2-az,local,Chapter 2,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,4656 E 1st,Tucson,87511,,,false,520-870-0443,,http://www.davmembersportal.org/chapters/AZ/02,,,,,,2,"Third, Thursday, 5:00PM","4656 E 1st, Tucson, AZ 87511",,
DAV Chapter 4 - Tucson #4,dav-chapter-4-az,local,Chapter 4,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,6865 N Thornydale Rd,Tucson,85741,32.3314083,-111.046944,true,520-791-9067,,http://www.davmembersportal.org/chapters/AZ/04,,,,,,4,"Third, Saturday, 10:30AM","6865 N Thornydale Rd, Tucson, AZ 85741",,
DAV Chapter 8 - East Valley #8,dav-chapter-8-az,local,Chapter 8,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,2024 E. University Dr.,Mesa,85213,,,false,480-890-2424,,http://www.davmembersportal.org/chapters/AZ/08,,,,,,8,"Second, Saturday, 12:00PM","2024 E. University Dr., Mesa, AZ 85213",,
DAV Chapter 11 - Louis Levy #11,dav-chapter-11-az,local,Chapter 11,dav,DAV,world-war-1,World War I,AZ,arizona,Yuma County,yuma-county,az_04027,954 S 13th Ave,Yuma,85364,,,false,928-246-4809,,http://www.davmembersportal.org/chapters/AZ/11,,,,,,11,"Third, Monday, 3:00PM","954 S 13th Ave, Yuma, AZ 85364",,
DAV Chapter 14 - Fry #14,dav-chapter-14-az,local,Chapter 14,dav,DAV,world-war-1,World War I,AZ,arizona,Cochise County,cochise-county,az_04003,2600 E Wilcox Dr,Sierra Vista,85635,,,false,520-458-0307,,http://www.davmembersportal.org/chapters/AZ/14,,,,,,14,"Second, Thursday, 6:00PM","2600 E Wilcox Dr, Sierra Vista, AZ 85635",,
DAV Chapter 16 - Prescott #16,dav-chapter-16-az,local,Chapter 16,dav,DAV,world-war-1,World War I,AZ,arizona,Yavapai County,yavapai-county,az_04025,726 W Gurley St,Prescott,86305,34.54679300000001,-112.4574199,true,928-756-2780,,http://www.davmembersportal.org/chapters/AZ/16,,,,,,16,"Second, Thursday, 5:30PM","726 W Gurley St, Prescott, AZ 86305",,
DAV Chapter 18 - Rincon Renegades #18,dav-chapter-18-az,local,Chapter 18,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,4656 E 1st St,Tucson,85711,,,false,520-325-6101,,http://www.davmembersportal.org/chapters/AZ/18,,,,,,18,"Second, Saturday, 10:00AM","4656 E 1st St, Tucson, AZ 85711",,
DAV Chapter 20 - Glendale #20,dav-chapter-20-az,local,Chapter 20,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,8447 N 61st Ave,Glendale,85302,33.55969049999999,-112.1894932,true,602-799-6491,,http://www.davmembersportal.org/chapters/AZ/20,,,,,,20,"Third, Saturday, 11:00AM","8447 N 61st Ave, Glendale, AZ 85302",,
DAV Chapter 24 - Star #24,dav-chapter-24-az,local,Chapter 24,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,14543 W Grand Ave,Surprise,85374,33.656302,-112.3735926,true,360-402-8094,,http://www.davmembersportal.org/chapters/AZ/24,,,,,,24,"Fourth, Thursday, 9:30AM","14543 W Grand Ave, Surprise, AZ 85374",,
DAV Chapter 26 - San Pedro Vly #26,dav-chapter-26-az,local,Chapter 26,dav,DAV,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,770 E 4th St,Benson,85602,,,false,520-720-8822,,http://www.davmembersportal.org/chapters/AZ/26,,,,,,26,"Fourth, Saturday, 12:00PM","770 E 4th St, Benson, AZ 85602",,
DAV Chapter 27 - London Bridge #27,dav-chapter-27-az,local,Chapter 27,dav,DAV,world-war-1,World War I,AZ,arizona,Mohave County,mohave-county,az_04015,2001 College Dr,Lake Havasu City,86404,34.469374,-114.3399892,true,928-855-0356,,http://www.davmembersportal.org/chapters/AZ/27,,,,,,27,"Third, Monday, 1:00PM","2001 College Dr, Lake Havasu City, AZ 86404",,
DAV Chapter 28 - The Working Chapter #28,dav-chapter-28-az,local,Chapter 28,dav,DAV,world-war-1,World War I,AZ,arizona,Pima County,pima-county,az_04019,5771 S Country Clb Rd,Tucson,85706,32.1472206,-110.9259499,true,520-490-9611,,http://www.davmembersportal.org/chapters/AZ/28,,,,,,28,"First, Saturday, 11:00AM","5771 S Country Clb Rd, Tucson, AZ 85706",,
DAV Chapter 36 - Pinal County #36,dav-chapter-36-az,local,Chapter 36,dav,DAV,world-war-1,World War I,AZ,arizona,Pinal County,pinal-county,az_04021,340 Main St,Coolidge,85128,32.9778736,-111.5200343,true,520-494-3283,,http://www.davmembersportal.org/chapters/AZ/36,,,,,,36,"First, Tuesday, 5:30PM","340 Main St, Coolidge, AZ 85128",,
DAV Chapter 38 - Sahuarita/Green Valley #38,dav-chapter-38-az,local,Chapter 38,dav,DAV,world-war-1,World War I,AZ,arizona,,,az_unknown,15900 S Rancho Resort Blvd.,Sahuarita,85629,,,false,360-391-0254,,http://www.davmembersportal.org/chapters/AZ/38,,,,,,38,"Third, Saturday, 11:00AM","15900 S Rancho Resort Blvd., Sahuarita, AZ 85629",,
DAV Chapter 39 - Oro Valley #39,dav-chapter-39-az,local,Chapter 39,dav,DAV,world-war-1,World War I,AZ,arizona,,,az_unknown,1305 W. Naranja Dr.,Oro Valley,85737,,,false,520-729-7692,,http://www.davmembersportal.org/chapters/AZ/39,,,,,,39,"Fourth, Saturday, 3:00PM","1305 W. Naranja Dr., Oro Valley, AZ 85737",,
DAV Chapter 1 - Homer Blevins #1,dav-chapter-1-ca,local,Chapter 1,dav,DAV,world-war-1,World War I,CA,california,Fresno County,fresno-county,ca_06019,3509 N 1st St,Fresno,93726,36.8136777,-119.7461767,true,209-872-6769,,http://www.davmembersportal.org/chapters/CA/01,,,,,,1,"Second, Thursday, 5:30PM","3509 N 1st St, Fresno, CA 93726",,
DAV Chapter 2 - Dick Cosgriff San Diego #2,dav-chapter-2-ca,local,Chapter 2,dav,DAV,world-war-1,World War I,CA,california,San Diego County,san-diego-county,ca_06073,66 E St,Chula Vista,91910,32.6400541,-117.0841955,true,619-755-9179,,http://www.davmembersportal.org/chapters/CA/02,,,,,,2,"First, Saturday, 1:30PM","66 E St, Chula Vista, CA 91910",,
DAV Chapter 5 - Los Angeles #5,dav-chapter-5-ca,local,Chapter 5,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,11301 Wilshire Blvd,Los Angeles,90073,,,false,804-484-2837,,http://www.davmembersportal.org/chapters/CA/05,,,,,,5,"Third, Sunday, 12:00PM","11301 Wilshire Blvd, Los Angeles, CA 90073",,
