title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,status,last_verified
Disabled American Veterans Department of Delaware,dav_de_10001,state,DAV,dav,DAV,world-war-1,World War I,DE,delaware,Kent County,kent-county,de_10001,"1601 Kirkwood Highway, Bldg 13",Wilmington,19805,,,false,302-994-2511,,https://davwebsites.dav.org/de/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Florida,dav_fl_12001,state,DAV,dav,DAV,world-war-1,World War I,FL,florida,Alachua County,alachua-county,fl_12001,9500 Bay Pines Blvd. Room 232,Bay Pines,33744,,,false,561-422-8203,,https://davwebsites.dav.org/fl/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Georgia,dav_ga_13089,state,DAV,dav,DAV,world-war-1,World War I,GA,georgia,Dekalb County,dekalb-county,ga_13089,Clairmont Road,Decatur,30033,,,false,404-929-5956,,https://davwebsites.dav.org/ga/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Hawaii,dav_hi_15003,state,DAV,dav,DAV,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,459 Patterson Road Rm 1-C103,Honolulu,96819,,,false,808-433-0490,,https://davwebsites.dav.org/hi/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Iowa,dav_ia_19153,state,DAV,dav,DAV,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,Walnut Street,Des Moines,50309,,,false,515-323-7539,,https://davwebsites.dav.org/ia/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Idaho,dav_id_16001,state,DAV,dav,DAV,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,444 W. Fort Street Rm. 143,Boise,83702,,,false,208-429-2140,,https://davwebsites.dav.org/id/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Illinois,dav_il_17031,state,DAV,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,"2122 W Taylor Street, Ste 104",Chicago,60612,,,false,312-980-4242,,https://davwebsites.dav.org/il/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Indiana,dav_in_18097,state,DAV,dav,DAV,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,"575 N Pennsylvania St, Rm 324",Indianapolis,46204,,,false,317-916-3615,,https://davwebsites.dav.org/in/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Kansas,dav_ks_20177,state,DAV,dav,DAV,world-war-1,World War I,KS,kansas,Shawnee County,shawnee-county,ks_20177,,Wichita,67207,,,false,316-688-6722,,https://davwebsites.dav.org/ks/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Kentucky,dav_ky_21111,state,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,Jefferson County,jefferson-county,ky_21111,"321 West Main Street, Rm 322",Louisville,40202,,,false,502-566-4482,,https://davwebsites.dav.org/ky/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Louisiana,dav_la_22071,state,DAV,dav,DAV,world-war-1,World War I,LA,louisiana,Orleans Parish,orleans-parish,la_22071,"1250 Poydras St, Room 200",New Orleans,70113,,,false,504-619-4350,,https://davwebsites.dav.org/la/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Massachusetts,dav_ma_25025,state,DAV,dav,DAV,world-war-1,World War I,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,,Boston,02203,,,false,617-303-5675,,https://davwebsites.dav.org/ma/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Maryland,dav_md_24510,state,DAV,dav,DAV,world-war-1,World War I,MD,maryland,Baltimore city,baltimore-city,md_24510,"31 Hopkins Pl, Suite G607",Baltimore,21201,,,false,301-400-0179,,https://davwebsites.dav.org/md/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Maine,dav_me_23011,state,DAV,dav,DAV,world-war-1,World War I,ME,maine,Kennebec County,kennebec-county,me_23011,,Augusta,04330,,,false,207-623-5725,,https://davwebsites.dav.org/me/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Michigan,dav_mi_26163,state,DAV,dav,DAV,world-war-1,World War I,MI,michigan,Wayne County,wayne-county,mi_26163,"477 Michigan Avenue, Rm 1200",Detroit,48226,,,false,313-964-6595,,https://davwebsites.dav.org/mi/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Minnesota,dav_mn_unknown,state,DAV,dav,DAV,world-war-1,World War I,MN,minnesota,,,mn_unknown,"1 Federal Dr, Rm G100",Fort Snelling,55111,,,false,612-970-5665,,https://davwebsites.dav.org/mn/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Missouri,dav_mo_29001,state,DAV,dav,DAV,world-war-1,World War I,MO,missouri,Adair County,adair-county,mo_29001,9700 Page Ave Suite 101,St. Louis,63132,,,false,314-253-4429,,https://davwebsites.dav.org/mo/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Mississippi,dav_ms_28049,state,DAV,dav,DAV,world-war-1,World War I,MS,mississippi,Hinds County,hinds-county,ms_28049,1600 E. Woodrow Wilson Ave Room 113,Jackson,39216,,,false,601-364-7178,,https://davwebsites.dav.org/ms/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Montana,dav_mt_30049,state,DAV,dav,DAV,world-war-1,World War I,MT,montana,Lewis And Clark County,lewis-and-clark-county,mt_30049,"3633 Veterans Dr, Ste 110B",Fort Harrison,59636,,,false,406-495-2089,,https://davwebsites.dav.org/mt/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of North Carolina,dav_nc_37199,state,DAV,dav,DAV,world-war-1,World War I,NC,north-carolina,Yancey County,yancey-county,nc_37199,"251 North Main St, Rm 151",Winston-Salem,27101,,,false,336-631-5481,,https://davwebsites.dav.org/nc/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of North Dakota,dav_nd_38017,state,DAV,dav,DAV,world-war-1,World War I,ND,north-dakota,Cass County,cass-county,nd_38017,,Fargo,58102,,,false,701-451-4636,,https://davwebsites.dav.org/nd/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Nebraska,dav_ne_31109,state,DAV,dav,DAV,world-war-1,World War I,NE,nebraska,Lancaster County,lancaster-county,ne_31109,Village Drive,Lincoln,68516,,,false,402-420-4025,,https://davwebsites.dav.org/ne/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of New Hampshire,dav_nh_unknown,state,DAV,dav,DAV,world-war-1,World War I,NH,new-hampshire,,,nh_unknown,"275 Chestnut St, Rm 522",Manchester,03101,,,false,603-222-5788,,https://davwebsites.dav.org/nh/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of New Jersey,dav_nj_34013,state,DAV,dav,DAV,world-war-1,World War I,NJ,new-jersey,Essex County,essex-county,nj_34013,Washington Place,Newark,07102,,,false,973-297-3378,,https://davwebsites.dav.org/nj/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of New Mexico,dav_nm_35001,state,DAV,dav,DAV,world-war-1,World War I,NM,new-mexico,Bernalillo County,bernalillo-county,nm_35001,500 Gold Avenue,Albuquerque,87102,,,false,505-346-4864,,https://davwebsites.dav.org/nm/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Nevada,dav_nv_32031,state,DAV,dav,DAV,world-war-1,World War I,NV,nevada,Washoe County,washoe-county,nv_32031,"5460 Reno Corporate Dr, Rm 102",Reno,89511,,,false,702-224-6850,,https://davwebsites.dav.org/nv/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of New York,dav_ny_36029,state,DAV,dav,DAV,world-war-1,World War I,NY,new-york,Erie County,erie-county,ny_36029,"130 S. Elmwood Ave, Ste 620",Buffalo,14202,,,false,716-857-3354,,https://davwebsites.dav.org/ny/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Ohio,dav_oh_39049,state,DAV,dav,DAV,world-war-1,World War I,OH,ohio,Franklin County,franklin-county,oh_39049,"1240 E 9th Street, Room 1017B",Cleveland,44199,,,false,216-522-3507,,https://davwebsites.dav.org/oh/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Oklahoma,dav_ok_40101,state,DAV,dav,DAV,world-war-1,World War I,OK,oklahoma,Muskogee County,muskogee-county,ok_40101,"125 S Main Street, Ste 119",Muskogee,74401,,,false,918-781-7764,,https://davwebsites.dav.org/ok/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Oregon,dav_or_41051,state,DAV,dav,DAV,world-war-1,World War I,OR,oregon,Multnomah County,multnomah-county,or_41051,100 SW Main St Fl 2,Portland,97204,,,false,503-412-4750,,https://davwebsites.dav.org/or/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Pennsylvania,dav_pa_42101,state,DAV,dav,DAV,world-war-1,World War I,PA,pennsylvania,Philadelphia County,philadelphia-county,pa_42101,Wissahickon Ave,Philadelphia,19144,,,false,215-381-3065,,https://davwebsites.dav.org/pa/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Philippines,dav_ph_unknown,state,DAV,dav,DAV,world-war-1,World War I,PH,philippines,,,ph_unknown,,,,,,false,,,,,,,,,,,
Disabled American Veterans Department of Puerto Rico,dav_pr_unknown,state,DAV,dav,DAV,world-war-1,World War I,PR,puerto-rico,,,pr_unknown,,Guaynabo,00968,,,false,787-772-7388,,https://davwebsites.dav.org/pr/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Rhode Island,dav_ri_44007,state,DAV,dav,DAV,world-war-1,World War I,RI,rhode-island,Providence County,providence-county,ri_44007,Westminster Mall,Providence,02903,,,false,401-223-3695,,https://davwebsites.dav.org/ri/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of South Carolina,dav_sc_45063,state,DAV,dav,DAV,world-war-1,World War I,SC,south-carolina,Lexington County,lexington-county,sc_45063,"6437 Garners Ferry Rd, Suite 1129",Columbia,29209,,,false,803-647-2422,,https://davwebsites.dav.org/sc/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of South Dakota,dav_sd_46099,state,DAV,dav,DAV,world-war-1,World War I,SD,south-dakota,Minnehaha County,minnehaha-county,sd_46099,St,Sioux Falls,57105,,,false,605-333-6896,,https://davwebsites.dav.org/sd/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Tennessee,dav_tn_47181,state,DAV,dav,DAV,world-war-1,World War I,TN,tennessee,Wayne County,wayne-county,tn_47181,7100 Commerce Way Suite 100,Brentwood,37027,,,false,615-695-6384,,https://davwebsites.dav.org/tn/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Texas,dav_tx_48309,state,DAV,dav,DAV,world-war-1,World War I,TX,texas,Mclennan County,mclennan-county,tx_48309,Clay Ave,Waco,76799,,,false,210-706-8048,,https://davwebsites.dav.org/tx/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Utah,dav_ut_49035,state,DAV,dav,DAV,world-war-1,World War I,UT,utah,Salt Lake County,salt-lake-county,ut_49035,550 Foothill Drive Suite 105,Salt Lake City,84113,,,false,801-326-2375,,https://davwebsites.dav.org/ut/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Virginia,dav_va_unknown,state,DAV,dav,DAV,world-war-1,World War I,VA,virginia,,,va_unknown,210 Franklin Road,Roanoke,24011,,,false,540-597-1731,,https://davwebsites.dav.org/va/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Vermont,dav_vt_unknown,state,DAV,dav,DAV,world-war-1,World War I,VT,vermont,,,vt_unknown,Street,White River Junction,05009,,,false,802-296-5167,,https://davwebsites.dav.org/vt/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Washington,dav_wa_53033,state,DAV,dav,DAV,world-war-1,World War I,WA,washington,King County,king-county,wa_53033,,Seattle,98174,,,false,206-341-8267,,https://davwebsites.dav.org/wa/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Wisconsin,dav_wi_55079,state,DAV,dav,DAV,world-war-1,World War I,WI,wisconsin,Milwaukee County,milwaukee-county,wi_55079,5400 West National Avenue Room 162,Milwaukee,53214,,,false,414-902-5736,,https://davwebsites.dav.org/wi/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of West Virginia,dav_wv_39087,state,DAV,dav,DAV,world-war-1,World War I,WV,west-virginia,Lawrence County,lawrence-county,oh_39087,,Huntington,25701,,,false,304-399-9350,,https://davwebsites.dav.org/wv/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Wyoming,dav_wy_56021,state,DAV,dav,DAV,world-war-1,World War I,WY,wyoming,Laramie County,laramie-county,wy_56021,E Pershing Boulevard,Cheyenne,82001,,,false,307-433-2752,,https://davwebsites.dav.org/wy/SystemPages/Home.aspx,,,,,,,,
